t,phi,theta,psi,phi_b,theta_b,psi_b,tau_x,tau_y,tau_z
3.04,0.217722839850684,0,0,0.217722839850684,0,0,0.0348405517768553,-0,-0
3.05,0.218045963038066,0,0,0.218045963038066,0,0,0.0345394845450148,-0,-0
3.06,0.21836679242523,0,0,0.21836679242523,0,0,0.0342414203122474,-0,-0
3.07,0.218685342959395,0,0,0.218685342959395,0,0,0.0339463236740512,-0,-0
3.08,0.219001629505799,0,0,0.219001629505799,0,0,0.0336541595600462,-0,-0
3.09,0.219315666847698,0,0,0.219315666847698,0,0,0.0333648932339751,-0,-0
3.1,0.219627469686365,0,0,0.219627469686365,0,0,0.0330784902937002,-0,-0
3.11,0.219937052641092,0,0,0.219937052641092,0,0,0.032794916671207,-0,-0
3.12,0.220244430249189,0,0,0.220244430249189,0,0,0.0325141386326015,-0,-0
3.13,0.220549616965983,0,0,0.220549616965983,0,0,0.032236122778113,-0,-0
3.14,0.220852627164819,0,0,0.220852627164819,0,0,0.0319608360420904,-0,-0
3.15,0.221153475137062,0,0,0.221153475137062,0,0,0.031688245693006,-0,-0
3.16,0.221452175092092,0,0,0.221452175092092,0,0,0.0314183193334523,-0,-0
3.17,0.221748741157309,0,0,0.221748741157309,0,0,0.0311510249001453,-0,-0
